SYMBOL	Domino	NCBI
A1BG	0.16086837	NCBIGene:1
A1CF	0.09535741	NCBIGene:29974
A2M	0.21364217	NCBIGene:2
A2ML1	0.09225611	NCBIGene:144568
A3GALT2	0.20253049	NCBIGene:127550
A4GALT	0.065206	NCBIGene:53947
A4GNT	0.08156696	NCBIGene:51146
AAAS	0.09808184	NCBIGene:8086
AACS	0.06313874	NCBIGene:65985
AADAC	0.05328516	NCBIGene:13
AADACL2	0.09785898	NCBIGene:344752
AADACL3	0.12281772	NCBIGene:126767
AADACL4	0.06714242	NCBIGene:343066
AADAT	0.13967348	NCBIGene:51166
AAGAB	0.07137722	NCBIGene:79719
AAK1	0.62493789	NCBIGene:22848
AAMDC	0.11186198	NCBIGene:28971
AAMP	0.17958619	NCBIGene:14
AANAT	0.06823685	NCBIGene:15
AAR2	0.96581957	NCBIGene:25980
AARD	0.14085459	NCBIGene:441376
AARS	0.18273845	NCBIGene:16
AARS2	0.08969032	NCBIGene:57505
AARSD1	0.09859203	NCBIGene:80755
AASDH	0.08184341	NCBIGene:132949
AASDHPPT	0.12918615	NCBIGene:60496
AASS	0.06263393	NCBIGene:10157
AATF	0.09743735	NCBIGene:26574
AATK	0.20503215	NCBIGene:9625
ABAT	0.24534186	NCBIGene:18
ABCA1	0.67534324	NCBIGene:19
ABCA10	0.12451754	NCBIGene:10349
ABCA12	0.09720603	NCBIGene:26154
ABCA13	0.1384552	NCBIGene:154664
ABCA2	0.32532903	NCBIGene:20
ABCA3	0.07335052	NCBIGene:21
ABCA4	0.06677509	NCBIGene:24
ABCA5	0.05790556	NCBIGene:23461
ABCA6	0.05420214	NCBIGene:23460
ABCA7	0.12999878	NCBIGene:10347
ABCA8	0.13899146	NCBIGene:10351
ABCA9	0.1464759	NCBIGene:10350
ABCB1	0.45749421	NCBIGene:5243
ABCB10	0.11232817	NCBIGene:23456
ABCB11	0.05731395	NCBIGene:8647
ABCB4	0.17630208	NCBIGene:5244
ABCB5	0.10543102	NCBIGene:340273
ABCB6	0.24770928	NCBIGene:10058
ABCB8	0.05007557	NCBIGene:11194
ABCB9	0.06598957	NCBIGene:23457
ABCC1	0.21697949	NCBIGene:4363
ABCC10	0.17043826	NCBIGene:89845
ABCC11	0.18272901	NCBIGene:85320
ABCC12	0.21032175	NCBIGene:94160
ABCC2	0.07722459	NCBIGene:1244
ABCC3	0.07344517	NCBIGene:8714
ABCC4	0.10235928	NCBIGene:10257
ABCC5	0.80862924	NCBIGene:10057
ABCC6	0.07530115	NCBIGene:368
ABCC8	0.38953932	NCBIGene:6833
ABCC9	0.28622059	NCBIGene:10060
ABCD2	0.17306385	NCBIGene:6361
ABCD3	0.54800507	NCBIGene:6376
ABCD4	0.0683037	NCBIGene:5826
ABCE1	0.93132192	NCBIGene:6059
ABCF1	0.1047791	NCBIGene:23
ABCF2	0.62401946	NCBIGene:10061
ABCF3	0.11405253	NCBIGene:55324
ABCG1	0.14886972	NCBIGene:9619
ABCG2	0.17145902	NCBIGene:9429
ABCG4	0.35048533	NCBIGene:64137
ABCG5	0.17473984	NCBIGene:64240
ABCG8	0.07693983	NCBIGene:64241
ABHD1	0.16149633	NCBIGene:84696
ABHD10	0.0755683	NCBIGene:55347
ABHD11	0.07834256	NCBIGene:83451
ABHD12	0.0497405	NCBIGene:26090
ABHD12B	0.11998514	NCBIGene:145447
ABHD13	0.36712895	NCBIGene:84945
ABHD14A	0.08318001	NCBIGene:25864
ABHD14B	0.15775309	NCBIGene:84836
ABHD15	0.12590006	NCBIGene:116236
ABHD16A	0.48287595	NCBIGene:7920
ABHD16B	0.12794996	NCBIGene:140701
ABHD17A	0.16639778	NCBIGene:81926
ABHD17B	0.32255087	NCBIGene:51104
ABHD17C	0.45296749	NCBIGene:58489
ABHD18	0.05745799	NCBIGene:80167
ABHD2	0.52270501	NCBIGene:11057
ABHD3	0.1108289	NCBIGene:171586
ABHD4	0.10837071	NCBIGene:63874
ABHD5	0.12060532	NCBIGene:51099
ABHD6	0.09456199	NCBIGene:57406
ABHD8	0.19201228	NCBIGene:79575
ABI1	0.96196751	NCBIGene:10006
ABI2	0.79278715	NCBIGene:10152
ABI3	0.07536748	NCBIGene:51225
ABI3BP	0.05450759	NCBIGene:25890
ABL1	0.9995335	NCBIGene:25
ABL2	0.95739769	NCBIGene:27
ABLIM1	0.26165974	NCBIGene:3983
ABLIM2	0.10467816	NCBIGene:84448
ABLIM3	0.08000599	NCBIGene:22885
ABR	0.98655243	NCBIGene:29
ABRA	0.13225496	NCBIGene:137735
